lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,16,"(256, 128, 64, 32, 16, 8)",300,74.0298,-0.282
0.001,16,"(256, 128, 64, 32, 16, 8)",400,73.1333,-0.2665
0.001,16,"(256, 128, 64, 32, 16, 8)",500,67.1782,-0.1634
0.001,16,"(128, 64, 32, 16, 8)",100,66.5008,-0.1516
0.001,16,"(128, 64, 32, 16, 8)",200,65.9389,-0.1419
0.001,16,"(128, 64, 32, 16, 8)",300,64.7443,-0.1212
0.001,16,"(128, 64, 32, 16, 8)",400,68.9739,-0.1945
0.001,16,"(128, 64, 32, 16, 8)",500,69.2024,-0.1984
0.001,16,"(64, 32, 16, 8)",100,57.949,-0.0035
0.001,16,"(64, 32, 16, 8)",200,60.0617,-0.0401
0.001,16,"(64, 32, 16, 8)",300,62.1355,-0.076
0.001,16,"(64, 32, 16, 8)",400,66.0146,-0.1432
0.001,16,"(64, 32, 16, 8)",500,64.2947,-0.1134
0.001,16,"(32, 16, 8)",100,59.5598,-0.0314
0.001,16,"(32, 16, 8)",200,63.0606,-0.0921
0.001,16,"(32, 16, 8)",300,60.8707,-0.0541
0.001,16,"(32, 16, 8)",400,62.4274,-0.0811
0.001,16,"(32, 16, 8)",500,65.9885,-0.1428
0.001,16,"(16, 8)",100,59.803,-0.0356
0.001,16,"(16, 8)",200,59.8157,-0.0359
0.001,16,"(16, 8)",300,59.4474,-0.0295
0.001,16,"(16, 8)",400,63.3318,-0.0967
0.001,16,"(16, 8)",500,61.4385,-0.064
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",100,59.3785,-0.0283
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",200,63.9367,-0.1072
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",300,64.4512,-0.1161
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",400,67.2658,-0.1649
0.001,16,"(256, 128, 128, 64, 64, 16, 8)",500,69.5074,-0.2037
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",100,61.2586,-0.0608
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",200,61.1131,-0.0583
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",300,66.7018,-0.1551
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",400,67.3882,-0.167
0.001,16,"(512, 256, 256, 128, 32, 32, 8)",500,58.0717,-0.0057
0.001,16,"(256, 128, 64, 64, 32, 8, 8)",100,59.7729,-0.0351
